metrekare,Brüt_Metrekare,oda_sayisi,kat,Eşya_Durumu,binayasi,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
50,65,2,3.Kat,Boş,0 (Yeni),Yerden Isıtma,1950000,bursa,4,Boş,Bilinmiyor,Var,Kat İrtifakı,1
130,135,4,3.Kat,,10-May,Kombi Doğalgaz,2395000,bursa,4,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2
120,140,4,Bahçe Katı,,3,Yerden Isıtma,2450000,bursa,2,Kiracı Oturuyor,,,,2
128,140,4,1.Kat,,0 (Yeni),Kombi Doğalgaz,3300000,bursa,5,Boş,,,,1
135,180,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,5300000,bursa,10,Boş,Bilinmiyor,Var,Kat İrtifakı,2
135,145,4,Çatı Dubleks,,4,Yerden Isıtma,3645000,bursa,5,Boş,,,,2
100,166,3,,,15-Nov,Kombi Doğalgaz,3750000,bursa,3,Kiracı Oturuyor,,,,3
70,95,3,Düz Giriş (Zemin),Boş,0 (Yeni),Merkezi (Pay Ölçer),2300000,bursa,3,Boş,Bilinmiyor,Var,,1
145,160,4,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3050000,bursa,6,Boş,Bilinmiyor,Var,,3
97,110,3,4.Kat,Boş,16-20,Kombi Doğalgaz,1850000,bursa,4,Boş,Bilinmiyor,Yok,,1
90,100,3,2.Kat,,16-20,Merkezi Doğalgaz,930000,bursa,4,Boş,,,,1
75,85,2,1.Kat,Boş,10-May,Kombi Doğalgaz,2150000,bursa,5,Boş,,Yok,Kat İrtifakı,2
45,50,3,3.Kat,Eşyalı,1,Kombi Doğalgaz,1625000,bursa,4,Kiracı Oturuyor,,,,1
200,240,6,Çatı Dubleks,Boş,4,Kombi Doğalgaz,6175000,bursa,10,Boş,Uygun,Yok,Kat Mülkiyeti,3
220,260,5,Bahçe Katı,Eşyalı,4,Kombi Doğalgaz,4250000,bursa,5,Boş,Bilinmiyor,Yok,,3
65,80,3,1.Kat,Eşyalı,10-May,Kombi Doğalgaz,1325000,bursa,4,Boş,Bilinmiyor,Yok,,1
95,105,3,,Boş,21 Ve Üzeri,Kombi Doğalgaz,3500000,bursa,3,Mülk Sahibi Oturuyor,Uygun,,Müstakil Tapulu,1
75,85,3,4.Kat,Boş,21 Ve Üzeri,Doğalgaz Sobalı,1075000,bursa,5,Boş,Uygun,,Kat Mülkiyeti,1
300,350,8,,Boş,3,Kombi Doğalgaz,12500000,bursa,3,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,3
75,85,3,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000,bursa,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
350,400,7,,,0 (Yeni),Kombi Doğalgaz,18250000,bursa,3,Boş,Uygun,Yok,Kat Mülkiyeti,3
160,180,4,3.Kat,Boş,10-May,Kombi Doğalgaz,3500000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,2
90,100,3,Düz Giriş (Zemin),,0 (Yeni),Kombi Doğalgaz,1500000,bursa,3,Boş,,,Kat Mülkiyeti,1
140,150,4,4.Kat,Boş,21 Ve Üzeri,Merkezi Doğalgaz,3250000,bursa,5,Kiracı Oturuyor,,,,1
50,60,3,3.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,2480000,bursa,4,Boş,Uygun,Yok,Kat Mülkiyeti,1
145,160,4,2.Kat,,0 (Yeni),Kombi Doğalgaz,3000000,bursa,5,Boş,Uygun,,,2
70,75,3,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1800000,bursa,4,Boş,,Yok,Kat İrtifakı,1
60,70,3,Düz Giriş (Zemin),Eşyalı,4,Kombi Doğalgaz,1299000,bursa,4,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
137,145,4,1.Kat,,15-Nov,Kombi Doğalgaz,2550000,bursa,4,Kiracı Oturuyor,Uygun,,Kat İrtifakı,1
130,140,4,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2500000,bursa,4,Boş,Uygun,Yok,,1
141,157,4,3.Kat,Boş,16-20,Kombi Doğalgaz,2840000,bursa,4,Boş,Bilinmiyor,Yok,,2
70,85,3,Yüksek Giriş,Boş,4,Kombi Doğalgaz,1299000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
125,135,4,2.Kat,Boş,16-20,Kombi Doğalgaz,3150000,bursa,7,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
115,120,4,Düz Giriş (Zemin),Boş,21 Ve Üzeri,Merkezi Doğalgaz,2740000,bursa,5,Boş,Bilinmiyor,Yok,,1
165,180,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3500000,bursa,2,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
80,85,3,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1870000,bursa,5,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,1
65,75,3,1.Kat,Eşyalı,10-May,Kombi Doğalgaz,1789000,bursa,5,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
180,230,6,5.Kat,Boş,10-May,Kombi Doğalgaz,3600000,bursa,5,Boş,Uygun,Var,Kat Mülkiyeti,2
100,115,3,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1030000,bursa,4,Boş,,,,1
90,110,3,1.Kat,Boş,10-May,Kombi Doğalgaz,2360000,bursa,5,Boş,Uygun,Yok,Kat Mülkiyeti,1
120,130,4,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,3990000,bursa,4,Boş,Uygun,Yok,Kat İrtifakı,1
130,140,4,4.Kat,,16-20,Kombi Doğalgaz,3150000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
160,185,5,3.Kat,,0 (Yeni),Kombi Doğalgaz,3600000,bursa,3,Boş,Uygun,Yok,Kat Mülkiyeti,2
150,200,5,3.Kat,,0 (Yeni),Yerden Isıtma,4350000,bursa,3,Boş,,Var,Kat Mülkiyeti,2
200,250,5,,Boş,15-Nov,Kombi Doğalgaz,5950000,bursa,3,Mülk Sahibi Oturuyor,,,Müstakil Tapulu,2
245,260,9,,,10-May,Sobalı,5500000,bursa,1,Mülk Sahibi Oturuyor,Uygun,Yok,Arsa Tapulu,3
100,138,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,3500000,bursa,3,Boş,,,Kat Mülkiyeti,2
110,120,4,Yüksek Giriş,,10-May,Kombi Doğalgaz,2975000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,3
94,130,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,3250000,bursa,3,Boş,,Var,Kat Mülkiyeti,2
187,213,4.5,1.Kat,Boş,10-May,Kombi Doğalgaz,5900000,bursa,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
70,90,3,2.Kat,,1,Kombi Doğalgaz,2300000,bursa,5,Kiracı Oturuyor,Uygun,,Kat İrtifakı,1
131,186,5,3.Kat,Boş,0 (Yeni),Yerden Isıtma,4500000,bursa,3,Boş,,Var,,2
210,235,4,,Boş,15-Nov,Kombi Doğalgaz,3750000,bursa,3,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,2
135,145,4,1.Kat,,16-20,Kombi Doğalgaz,1640000,bursa,1,Kiracı Oturuyor,Uygun,Yok,Müstakil Tapulu,1
110,120,3,Yüksek Giriş,Boş,4,Kombi Doğalgaz,2240000,bursa,10,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
85,115,3,1.Kat,Boş,0 (Yeni),Yerden Isıtma,3250000,bursa,3,Boş,Uygun,Var,,1
240,265,5,4.Kat,Boş,3,Kombi Doğalgaz,5000000,bursa,4,Boş,,,Kat İrtifakı,3
118,134,4,1.Kat,,3,Yerden Isıtma,4990000,bursa,8,Kiracı Oturuyor,,Yok,Kat Mülkiyeti,2
75,85,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2600000,bursa,7,Boş,Bilinmiyor,Yok,,1
20,21,,,,0 (Yeni),Sobalı,66000,bursa,1,Boş,,,,6
75,100,3,1.Kat,Eşyalı,10-May,Kombi Doğalgaz,1899000,bursa,3,Boş,Bilinmiyor,Var,,1
60,75,2,2.Kat,Eşyalı,4,Kombi Doğalgaz,1365000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
85,115,3,5.Kat,Boş,21 Ve Üzeri,Doğalgaz Sobalı,990000,bursa,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
130,145,4,4.Kat,Eşyalı,2,Kombi Doğalgaz,4950000,bursa,5,Boş,Bilinmiyor,Var,Kat İrtifakı,2
110,120,4,1.Kat,Boş,10-May,Kombi Doğalgaz,2000000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
119,152,4,1.Kat,Boş,2,Kombi Doğalgaz,3150000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2
100,110,3,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2450000,bursa,3,Boş,Uygun,Var,Kat İrtifakı,1
95,120,3,1.Kat,Boş,1,Kombi Doğalgaz,1600000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Var,Kat İrtifakı,2
60,70,2,2.Kat,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,1350000,bursa,8,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
60,70,3,2.Kat,Eşyalı,3,Kombi Doğalgaz,1425000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
55,65,2,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,1335000,bursa,4,Boş,Bilinmiyor,Yok,,1
100,125,4,6.Kat,Boş,10-May,Kombi Doğalgaz,1900000,bursa,6,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
82,90,3,2.Kat,,3,Kombi Doğalgaz,2600000,bursa,3,Boş,,,,2
150,153,4,3.Kat,Boş,4,Kombi Doğalgaz,3450000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
120,140,4,4.Kat,Boş,21 Ve Üzeri,Merkezi (Pay Ölçer),4500000,bursa,7,Boş,Bilinmiyor,Yok,Kat Mülkiyeti,1
80,100,3,2.Kat,Boş,2,Kombi Doğalgaz,1650000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
140,160,4,Düz Giriş (Zemin),Boş,10-May,Kombi Doğalgaz,2500000,bursa,4,Boş,Bilinmiyor,Var,,2
130,145,4,2.Kat,Boş,1,Kombi Doğalgaz,2450000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
105,120,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2200000,bursa,3,Boş,Bilinmiyor,Yok,,1
85,95,3,5.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2100000,bursa,6,Mülk Sahibi Oturuyor,,,,1
129,140,4,2.Kat,,0 (Yeni),Kombi Doğalgaz,2800000,bursa,3,Boş,Bilinmiyor,Var,,1
30,40,2,Düz Giriş (Zemin),Eşyalı,0 (Yeni),Kombi Doğalgaz,1020000,bursa,4,Boş,Bilinmiyor,Var,,1
110,120,3,5.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,1890000,bursa,5,Mülk Sahibi Oturuyor,,,,1
130,150,4,4.Kat,Boş,4,Yerden Isıtma,5100000,bursa,6,Mülk Sahibi Oturuyor,,Yok,Kat Mülkiyeti,2
130,140,4,2.Kat,,10-May,Kombi Doğalgaz,2600000,bursa,5,Mülk Sahibi Oturuyor,,,Kat Mülkiyeti,1
80,90,3,Çatı Katı,Boş,10-May,Kombi Doğalgaz,1659000,bursa,5,Boş,Bilinmiyor,Yok,,1
75,90,3,1.Kat,Eşyalı,10-May,Kombi Doğalgaz,1399000,bursa,4,Boş,Bilinmiyor,Yok,,1
85,95,4,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1600000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,,1
120,135,4,1.Kat,Boş,0 (Yeni),Yerden Isıtma,4200000,bursa,8,Boş,Bilinmiyor,Yok,,2
239,240,8,,Eşyalı,15-Nov,Sobalı,3850000,bursa,3,Boş,Bilinmiyor,Var,,2
55,65,3,3.Kat,Eşyalı,2,Kombi Doğalgaz,2000000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
130,351,4,Müstakil,Boş,10-May,Sobalı,2375000,bursa,2,Boş,Bilinmiyor,Var,,1
65,78,2,4.Kat,Eşyalı,3,Yerden Isıtma,3150000,bursa,7,Boş,Bilinmiyor,Yok,,1
105,120,4,Düz Giriş (Zemin),Boş,15-Nov,Kombi Doğalgaz,2480000,bursa,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
258,270,6,5.Kat,Boş,10-May,Kombi Doğalgaz,9000000,bursa,6,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
195,225,5,8.Kat,Boş,4,Kombi Doğalgaz,6250000,bursa,8,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2
160,200,5,3.Kat,Boş,10-May,Kombi Doğalgaz,3550000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
115,132,4.5,3.Kat,Boş,10-May,Kombi Doğalgaz,2200000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
125,145,4,Yüksek Giriş,Boş,15-Nov,Kombi Doğalgaz,3350000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,,2
125,185,2,7.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3750000,bursa,7,Boş,Bilinmiyor,Yok,,1
150,218,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4450000,bursa,7,Boş,Bilinmiyor,Yok,,2
150,218,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4750000,bursa,7,Boş,Bilinmiyor,Yok,,2
280,300,8,5.Kat,Boş,10-May,Kombi Doğalgaz,4000000,bursa,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
150,160,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4200000,bursa,5,Boş,Bilinmiyor,Var,,2
150,168,4,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3500000,bursa,5,Boş,Bilinmiyor,Var,,2
150,165,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4300000,bursa,5,Boş,Bilinmiyor,Var,,2
150,168,4,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4350000,bursa,5,Boş,Bilinmiyor,Var,,2
28,40,2,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,1065000,bursa,6,Boş,Uygun,Yok,Kat Mülkiyeti,1
122,140,4,3.Kat,Boş,4,Kombi Doğalgaz,2590000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
160,170,3,2.Kat,Boş,15-Nov,Kombi Doğalgaz,4350000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
100,110,3,2.Kat,Boş,4,Kombi Doğalgaz,4730000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Arsa Tapulu,2
70,75,3,4.Kat,Boş,21 Ve Üzeri,Doğalgaz Sobalı,1200000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
110,120,4,Yüksek Giriş,Boş,15-Nov,Kombi Doğalgaz,3180000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
75,100,3,1.Kat,Boş,0 (Yeni),Yerden Isıtma,2790000,bursa,3,Boş,Bilinmiyor,Var,Kat İrtifakı,2
150,180,6,4.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,3450000,bursa,4,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
115,125,4,1.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2675000,bursa,6,Boş,Bilinmiyor,Yok,,1
133,166,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3100000,bursa,6,Boş,Bilinmiyor,Var,Kat İrtifakı,2
133,166,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2850000,bursa,6,Boş,Bilinmiyor,Var,Kat İrtifakı,2
125,150,4,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,3150000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Var,,2
40,55,2,Düz Giriş (Zemin),Eşyalı,21 Ve Üzeri,Klimalı,990000,bursa,8,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
115,125,3,1.Kat,,16-20,Sobalı,4000000,bursa,2,Kiracı Oturuyor,,,,1
105,115,4,,Boş,16-20,Kombi Doğalgaz,5100000,bursa,5,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Arsa Tapulu,2
45,50,1,Yüksek Giriş,Boş,21 Ve Üzeri,Kombi Doğalgaz,1050000,bursa,4,Boş,Bilinmiyor,Yok,Arsa Tapulu,1
97,103,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1850000,bursa,4,Boş,Bilinmiyor,Yok,,1
95,110,4,5.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1220000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
70,90,3,Düz Giriş (Zemin),Boş,10-May,Kombi Doğalgaz,1550000,bursa,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
105,123,3,6.Kat,Boş,0 (Yeni),Yerden Isıtma,2800000,bursa,8,Boş,Bilinmiyor,Var,Kat İrtifakı,2
124,145,4,5.Kat,Boş,0 (Yeni),Yerden Isıtma,3250000,bursa,8,Boş,Bilinmiyor,Var,Kat İrtifakı,2
75,95,3,3.Kat,Boş,10-May,Kombi Doğalgaz,2500000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
157,163,5,Düz Giriş (Zemin),Boş,21 Ve Üzeri,Kombi Doğalgaz,1750000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Var,Kat İrtifakı,2
90,330,4,,Boş,21 Ve Üzeri,Doğalgaz Sobalı,3950000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Müstakil Tapulu,1
80,95,3,3.Kat,Boş,21 Ve Üzeri,Merkezi (Pay Ölçer),2100000,bursa,9,Boş,Bilinmiyor,Var,,1
115,125,4,1.Kat,Boş,10-May,Kombi Doğalgaz,2375000,bursa,4,Boş,Bilinmiyor,Yok,,1
55,70,2,3.Kat,Boş,10-May,Kombi Doğalgaz,995000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Var,,1
130,170,4,,Boş,16-20,Kombi Doğalgaz,4800000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
205,230,5,,Boş,15-Nov,Sobalı,5850000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Müstakil Tapulu,2
80,105,3,3.Kat,Boş,21 Ve Üzeri,Merkezi Doğalgaz,1195000,bursa,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
90,120,4,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2150000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
120,130,4,Yüksek Giriş,Boş,15-Nov,Kombi Doğalgaz,2850000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Var,,1
125,145,4,3.Kat,,16-20,Kombi Doğalgaz,3495000,bursa,9,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
130,160,6,,Boş,21 Ve Üzeri,Sobalı,1275000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Müstakil Tapulu,2
210,300,5,2.Kat,Boş,21 Ve Üzeri,Yerden Isıtma,4000000,bursa,9,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,3
190,210,5,3.Kat,Boş,4,Kombi Doğalgaz,4050000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
450,500,,,Boş,21 Ve Üzeri,Kombi Doğalgaz,7500000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Var,,3
150,160,4,1.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2100000,bursa,5,Boş,Uygun,,Kat Mülkiyeti,1
125,145,4,2.Kat,Boş,15-Nov,Kombi Doğalgaz,4400000,bursa,4,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2
140,150,4,1.Kat,,21 Ve Üzeri,Kombi Doğalgaz,3650000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,1
110,120,3,1.Kat,,15-Nov,Kombi Doğalgaz,2300000,bursa,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
290,300,5,,,16-20,Kombi Doğalgaz,7600000,bursa,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
145,150,4,6.Kat,,10-May,Kombi Doğalgaz,4100000,bursa,7,Boş,Uygun,Yok,Kat Mülkiyeti,2
210,220,4,,,16-20,Kombi Doğalgaz,3650000,bursa,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
85,90,3,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,895000,bursa,5,Boş,,,,1
85,100,3,Düz Giriş (Zemin),Boş,10-May,Kombi Doğalgaz,1825000,bursa,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
199,249,5,,Boş,16-20,Kombi Doğalgaz,11940000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
65,66,,,,2,Kombi Doğalgaz,24000000,bursa,4,Boş,Bilinmiyor,Yok,,6
270,400,6,,Boş,10-May,Kombi Doğalgaz,13100000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,2
97,115,3,Çatı Dubleks,,0 (Yeni),Yerden Isıtma,2950000,bursa,3,Boş,,,,1
95,100,4,Düz Giriş (Zemin),Boş,21 Ve Üzeri,Merkezi Doğalgaz,1490000,bursa,7,Mülk Sahibi Oturuyor,Uygun,Yok,Kat İrtifakı,1
140,145,4,1.Kat,,10-May,Kombi Doğalgaz,3000000,bursa,4,Boş,Uygun,Yok,Kat Mülkiyeti,1
300,420,7,,Boş,10-May,Kombi Doğalgaz,9950000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,3
125,175,4,5.Kat,Boş,0 (Yeni),Yerden Isıtma,5300000,bursa,10,Boş,,,,2
140,160,5,2.Kat,Boş,10-May,Yerden Isıtma,4800000,bursa,3,Mülk Sahibi Oturuyor,,,Kat Mülkiyeti,2
55,66,3,1.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,2200000,bursa,6,Boş,,Yok,Kat Mülkiyeti,1
250,300,5,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3150000,bursa,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
105,115,4,4.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1850000,bursa,5,Boş,Bilinmiyor,Yok,,1
129,130,,,,21 Ve Üzeri,Kombi Doğalgaz,4500000,bursa,3,Boş,Bilinmiyor,Yok,,6
150,180,5,2.Kat,Boş,4,Kombi Doğalgaz,2780000,bursa,2,Boş,Bilinmiyor,Var,Kat İrtifakı,1
140,160,4,4.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,4850000,bursa,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
175,210,5,5.Kat,Boş,10-May,Yerden Isıtma,13950000,bursa,6,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
135,147,4,2.Kat,,0 (Yeni),Yerden Isıtma,4000000,bursa,3,Boş,,,Kat İrtifakı,2
140,175,4,3.Kat,,16-20,Kombi Doğalgaz,2575000,bursa,6,Kiracı Oturuyor,Uygun,,Kat İrtifakı,1
240,270,5,Çatı Dubleks,Boş,10-May,Kombi Doğalgaz,3250000,bursa,4,Boş,Uygun,Yok,Kat Mülkiyeti,2
90,120,3,,Boş,21 Ve Üzeri,Kombi Doğalgaz,4600000,bursa,4,Mülk Sahibi Oturuyor,Uygun,Yok,,1
240,280,7,3.Kat,Boş,10-May,Kombi Doğalgaz,3850000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
70,80,3,4.Kat,Eşyalı,3,Kombi Doğalgaz,1655000,bursa,4,Kiracı Oturuyor,,,,1
65,70,3,1.Kat,,10-May,Kombi Doğalgaz,1220000,bursa,5,Boş,,,,1
165,185,5,Bahçe Katı,Boş,3,Yerden Isıtma,18750000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Var,,2
317,400,7,,Boş,0 (Yeni),Yerden Isıtma,29500000,bursa,3,Boş,Bilinmiyor,Yok,,5
140,184,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4350000,bursa,10,Boş,Bilinmiyor,Var,,2
90,108,3,8.Kat,Boş,1,Yerden Isıtma,4250000,bursa,3,Boş,Bilinmiyor,Yok,,2
450,500,7,,Boş,16-20,Kombi Doğalgaz,12950000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,3
100,125,4,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2200000,bursa,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
135,160,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3950000,bursa,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
110,150,3,1.Kat,Boş,2,Yerden Isıtma,4500000,bursa,13,Kiracı Oturuyor,Bilinmiyor,Yok,,2
52,78,2,8.Kat,Boş,10-May,Merkezi (Pay Ölçer),4500000,bursa,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
165,175,4,2.Kat,Boş,15-Nov,Yerden Isıtma,8400000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
317,400,7,,Boş,0 (Yeni),Yerden Isıtma,29500000,bursa,3,Boş,Bilinmiyor,Yok,,5
135,155,4,5.Kat,Boş,15-Nov,Kombi Doğalgaz,2875000,bursa,5,Boş,Bilinmiyor,Yok,,1
450,451,,,,21 Ve Üzeri,Kombi Doğalgaz,3950000,bursa,5,Boş,Bilinmiyor,Yok,,6
105,135,2,13.Kat,Boş,4,Yerden Isıtma,5000000,bursa,13,Boş,Bilinmiyor,Yok,,1
270,271,4,,Eşyalı,3,Isıtma Yok,7400000,bursa,2,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
225,250,6,4.Kat,Boş,10-May,Kombi Doğalgaz,4800000,bursa,4,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
120,135,3,Bahçe Katı,Boş,10-May,Kombi Doğalgaz,3600000,bursa,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,2
167,168,3,,Eşyalı,2,Sobalı,5400000,bursa,1,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
142,180,4,6.Kat,Boş,10-May,Doğalgaz Sobalı,3500000,bursa,6,Boş,Bilinmiyor,Yok,Müstakil Tapulu,2
133,195,4,11.Kat,Boş,0 (Yeni),Yerden Isıtma,5250000,bursa,12,Boş,Bilinmiyor,Var,,2
110,140,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3650000,bursa,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
130,150,4,2.Kat,Boş,10-May,Kombi Doğalgaz,2825000,bursa,5,Kiracı Oturuyor,Bilinmiyor,Yok,,1
300,350,6,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,5600000,bursa,5,Boş,Bilinmiyor,Var,Kat İrtifakı,3
